RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;AdjstdQtTax;RefPric;TradQty;FinInstrmQty
2022-09-23;PETRJ462;BRPETR4J0YD7;EQUITY CALL;0,01;0,01;0,01;0,01;;;0,01;6;1500
2022-09-23;PETRJ463;BRPETR3J07A5;EQUITY CALL;;;;;;;0,06;;
2022-09-23;PETRJ470;BRPETR4J0VG6;EQUITY CALL;0,58;0,87;0,66;0,63;;;0,63;4799;13294600
2022-09-23;PETRJ473;BRPETR3J06X9;EQUITY CALL;;;;;;;0,04;;
2022-09-23;PETRJ480;BRPETR4J0VT9;EQUITY CALL;0,42;0,61;0,48;0,47;;;0,45;653;3374000
2022-09-23;PETRJ483;BRPETR3J06Z4;EQUITY CALL;;;;;;;0,03;;
2022-09-23;PETRJ490;BRPETR4J0VW3;EQUITY CALL;0,29;0,45;0,33;0,34;;;0,33;3493;21169300
2022-09-23;PETRJ493;BRPETR3J07D9;EQUITY CALL;;;;;;;0,03;;
2022-09-23;PETRJ500;BRPETR4J0VN2;EQUITY CALL;0,2;0,34;0,23;0,24;;;0,23;511;4907500
2022-09-23;PETRJ510;BRPETR4J0V93;EQUITY CALL;0,13;0,19;0,16;0,18;;;0,17;433;1100400
2022-09-23;PETRJ520;BRPETR4J0VS1;EQUITY CALL;0,09;0,14;0,11;0,11;;;0,12;1034;3075200
2022-09-23;PETRK101;BRPETR4K0VN9;EQUITY CALL;11,69;11,69;11,69;11,69;;;11,55;1;800
2022-09-23;PETRK117;BRPETR4K0VK5;EQUITY CALL;18,38;18,55;18,47;18,38;;;18,39;2;6600
2022-09-23;PETRK132;BRPETR4K0VJ7;EQUITY CALL;18,05;18,05;18,05;18,05;;;16,92;1;3000
2022-09-23;PETRK133;BRPETR4K0W25;EQUITY CALL;9,45;9,45;9,45;9,45;;;9,42;1;100
2022-09-23;PETRK138;BRPETR4K0VO7;EQUITY CALL;11,12;11,32;11,28;11,12;;;11,07;23;50100
2022-09-23;PETRK140;BRPETR4K0VI9;EQUITY CALL;16,13;17,34;16,31;16,13;;;16,18;57;87400
2022-09-23;PETRK142;BRPETR4K0VH1;EQUITY CALL;16,12;16,12;16,12;16,12;;;15,94;1;1500
2022-09-23;PETRK145;BRPETR4K0VG3;EQUITY CALL;15,86;16,44;15,98;15,99;;;15,69;51;58200
2022-09-23;PETRK152;BRPETR4K0VF5;EQUITY CALL;14,9;14,9;14,9;14,9;;;14,96;1;6500
2022-09-23;PETRK154;BRPETR4K0VZ3;EQUITY CALL;;;;;;;11,31;;
2022-09-23;PETRK166;BRPETR3K07W7;EQUITY CALL;;;;;;;16,54;;
2022-09-23;PETRK170;BRPETR4K0VD0;EQUITY CALL;13,38;14,32;14,15;13,38;;;13,25;4;7100
2022-09-23;PETRK182;BRPETR4K0VS8;EQUITY CALL;8,92;9;8,94;9;;;8,96;4;3100
2022-09-23;PETRK186;BRPETR4K0U68;EQUITY CALL;7,65;8,48;7,78;7,65;;;7,39;3;900
2022-09-23;PETRK197;BRPETR4K0W17;EQUITY CALL;;;;;;;10,59;;
2022-09-23;PETRK2;BRPETR4K0S13;EQUITY CALL;17,3;17,86;17,58;17,3;;;17,41;44;36000
2022-09-23;PETRK201;BRPETR4K0UO9;EQUITY CALL;3,78;4,7;3,9;3,85;;;3,83;1371;228300
2022-09-23;PETRK202;BRPETR4K0UF7;EQUITY CALL;10,45;10,45;10,45;10,45;;;10,12;1;2000
2022-09-23;PETRK207;BRPETR4K0UI1;EQUITY CALL;9,67;10,1;9,74;9,7;;;9,65;14;10700
2022-09-23;PETRK209;BRPETR4K0UV4;EQUITY CALL;4,09;4,87;4,16;4,23;;;4,14;14;33000
2022-09-23;PETRK217;BRPETR4K0UN1;EQUITY CALL;4,8;5,28;5;4,8;;;4,82;119;42500
2022-09-23;PETRK218;BRPETR3K07X5;EQUITY CALL;;;;;;;11,28;;
2022-09-23;PETRK22;BRPETR4K0TY0;EQUITY CALL;8,43;8,67;8,63;8,52;;;8,5;14;6800
2022-09-23;PETRK220;BRPETR4K0UZ5;EQUITY CALL;2,9;3,59;3,05;3,03;;;2,98;73;61100
2022-09-23;PETRK221;BRPETR4K0SG9;EQUITY CALL;24,3;24,3;24,3;24,3;;;24,28;1;100
2022-09-23;PETRK225;BRPETR4K0U19;EQUITY CALL;7,9;9,16;8,52;8,15;;;8,05;9;14000
2022-09-23;PETRK227;BRPETR4K0UQ4;EQUITY CALL;5,12;5,76;5,31;5,2;;;5,18;31;34900
2022-09-23;PETRK229;BRPETR4K0TN3;EQUITY CALL;11,74;12,26;11,75;11,74;;;11,79;40;110400
2022-09-23;PETRK230;BRPETR4K0U27;EQUITY CALL;7,49;8,46;7,69;7,49;;;7,61;10;61100
2022-09-23;PETRK231;BRPETR4K0S39;EQUITY CALL;23,43;23,45;23,44;23,43;;;23,3;4;1100
2022-09-23;PETRK233;BRPETR4K0RZ1;EQUITY CALL;23,1;23,1;23,1;23,1;;;23,05;1;100
2022-09-23;PETRK239;BRPETR4K0SZ9;EQUITY CALL;19,43;19,9;19,57;19,57;;;19,37;4;8700
2022-09-23;PETRK240;BRPETR4K0V67;EQUITY CALL;6,71;7,77;6,84;6,76;;;6,76;31;13500
2022-09-23;PETRK244;BRPETR4K0TD4;EQUITY CALL;14,65;15,24;14,98;14,65;;;14,71;8;17000
2022-09-23;PETRK247;BRPETR4K0UX0;EQUITY CALL;4,39;5,3;4,58;4,5;;;4,48;42;104500
2022-09-23;PETRK248;BRPETR4K0UY8;EQUITY CALL;2,63;3,35;2,77;2,75;;;2,73;306;264500
2022-09-23;PETRK249;BRPETR4K0TS2;EQUITY CALL;9,89;10,39;9,98;9,93;;;9,89;13;1300
2022-09-23;PETRK250;BRPETR4K0UM3;EQUITY CALL;5,99;6,99;6,38;6,04;;;5,94;76;90200
2022-09-23;PETRK256;BRPETR4K0V34;EQUITY CALL;2,4;3,05;2,58;2,55;;;2,5;197;142700
2022-09-23;PETRK258;BRPETR4K0V00;EQUITY CALL;1,81;2,37;1,95;1,9;;;1,88;240;295700
2022-09-23;PETRK260;BRPETR4K0VB4;EQUITY CALL;2,2;2,82;2,36;2,3;;;2,28;105;132600
2022-09-23;PETRK261;BRPETR4K0UH3;EQUITY CALL;3,37;3,86;3,48;3,38;;;3,39;24;49800
2022-09-23;PETRK268;BRPETR4K0U84;EQUITY CALL;2,34;2,88;2,55;2,34;;;2,38;92;142700
2022-09-23;PETRK272;BRPETR4K0V59;EQUITY CALL;0,97;1,5;1,02;1,05;;;1,02;307;1133300
2022-09-23;PETRK273;BRPETR4K0VC2;EQUITY CALL;1,11;1,55;1,27;1,11;;;1,26;126;190500
2022-09-23;PETRK277;BRPETR4K0U92;EQUITY CALL;2,8;3,2;2,91;2,9;;;2,85;42;104400
2022-09-23;PETRK278;BRPETR4K0UU6;EQUITY CALL;0,88;1,14;0,92;0,9;;;0,92;38;84200
2022-09-23;PETRK280;BRPETR4K0V91;EQUITY CALL;1,67;2,15;1,73;1,72;;;1,71;89;115900
2022-09-23;PETRK281;BRPETR4K0VE8;EQUITY CALL;0,77;1;0,86;0,85;;;0,83;221;845700
2022-09-23;PETRK283;BRPETR4K0TH5;EQUITY CALL;10,82;10,87;10,86;10,83;;;10,83;5;6000
2022-09-23;PETRK284;BRPETR4K0VM1;EQUITY CALL;0,7;0,83;0,75;0,76;;;0,74;26;124300
2022-09-23;PETRK285;BRPETR4K0VA6;EQUITY CALL;1,34;1,73;1,44;1,44;;;1,4;217;347700
2022-09-23;PETRK286;BRPETR4K0TZ7;EQUITY CALL;1,9;2,42;2,08;1,99;;;1,98;141;5155400
2022-09-23;PETRK290;BRPETR4K0VV2;EQUITY CALL;0,62;0,75;0,64;0,62;;;0,66;18;143100
2022-09-23;PETRK292;BRPETR4K0S05;EQUITY CALL;17,38;18,98;17,91;17,45;;;17,16;88;170000
2022-09-23;PETRK293;BRPETR3K0748;EQUITY CALL;;;;;;;10,81;;
2022-09-23;PETRK296;BRPETR4K0VP4;EQUITY CALL;0,54;0,66;0,54;0,56;;;0,59;30;4628000
2022-09-23;PETRK297;BRPETR4K0U01;EQUITY CALL;1,26;1,49;1,33;1,38;;;1,33;157;387400
2022-09-23;PETRK298;BRPETR3K07E5;EQUITY CALL;;;;;;;10,35;;
2022-09-23;PETRK299;BRPETR4K0TF9;EQUITY CALL;10,41;10,54;10,52;10,41;;;10,36;3;1900
2022-09-23;PETRK3;BRPETR4K0S62;EQUITY CALL;17,67;18,35;18,06;17,67;;;18,27;6;700
2022-09-23;PETRK302;BRPETR4K0VW0;EQUITY CALL;0,51;0,65;0,56;0,51;;;0,53;10;99400
2022-09-23;PETRK303;BRPETR3K07D7;EQUITY CALL;;;;;;;9,9;;
2022-09-23;PETRK304;BRPETR4K0T04;EQUITY CALL;13,06;13,48;13,35;13,06;;;13;15;17800
2022-09-23;PETRK307;BRPETR4K0U35;EQUITY CALL;1,03;1,6;1,09;1,09;;;1,08;305;633400
2022-09-23;PETRK308;BRPETR3K06X7;EQUITY CALL;;;;;;;9,45;;
2022-09-23;PETRK31;BRPETR3K06Y5;EQUITY CALL;;;;;;;9;;
2022-09-23;PETRK311;BRPETR4K0VQ2;EQUITY CALL;0,45;0,45;0,45;0,45;;;0,47;2;17600
2022-09-23;PETRK313;BRPETR4K0TG7;EQUITY CALL;8,86;8,86;8,86;8,86;;;8,73;1;100
2022-09-23;PETRK314;BRPETR4K0TA0;EQUITY CALL;9,12;9,12;9,12;9,12;;;9,19;1;100
2022-09-23;PETRK318;BRPETR3K07C9;EQUITY CALL;;;;;;;8,56;;
2022-09-23;PETRK319;BRPETR4K0TQ6;EQUITY CALL;5,63;6,94;5,81;5,71;;;5,75;27;38600
2022-09-23;PETRK321;BRPETR4K0VX8;EQUITY CALL;0,38;0,43;0,4;0,41;;;0,42;8;89100
2022-09-23;PETRK323;BRPETR3K0789;EQUITY CALL;;;;;;;8,13;;
2022-09-23;PETRK327;BRPETR4K0UL5;EQUITY CALL;0,73;0,94;0,8;0,79;;;0,78;276;727400
2022-09-23;PETRK328;BRPETR3K0797;EQUITY CALL;;;;;;;7,7;;
2022-09-23;PETRK329;BRPETR4K0T95;EQUITY CALL;7,85;8,18;7,93;7,85;;;7,83;7;13200
2022-09-23;PETRK33;BRPETR4K0RX6;EQUITY CALL;13,4;13,92;13,68;13,4;;;13,49;21;14700
2022-09-23;PETRK330;BRPETR4K0V26;EQUITY CALL;1,48;1,8;1,53;1,7;;;1,55;199;4891100
2022-09-23;PETRK331;BRPETR4K0VT6;EQUITY CALL;0,35;0,36;0,35;0,36;;;0,38;14;217600
2022-09-23;PETRK333;BRPETR3K06V1;EQUITY CALL;;;;;;;7,28;;
2022-09-23;PETRK334;BRPETR4K0TC6;EQUITY CALL;6,45;7,48;6,58;6,49;;;6,55;23;7700
2022-09-23;PETRK335;BRPETR3K0813;EQUITY CALL;;;;;;;2,68;;
2022-09-23;PETRK338;BRPETR4K0TI3;EQUITY CALL;7,11;8,25;7,34;7,14;;;7,18;16;38500
2022-09-23;PETRK339;BRPETR3K0821;EQUITY CALL;2,48;3,15;3,02;2,48;;;2,46;23;8700
2022-09-23;PETRK34;BRPETR3K07Z0;EQUITY CALL;2,17;2,9;2,37;2,31;;;2,25;52;66000
2022-09-23;PETRK340;BRPETR4K0UK7;EQUITY CALL;0,64;0,75;0,7;0,7;;;0,7;233;974200
